Name,2013_close,2014_close,2015_close,2016_close,2017_close,2018_close
CME,70.69129203539823,76.51708333333333,93.78896825396825,100.35603174603175,127.18035856573705,153.34653846153847
CMG,408.09059292035397,601.3682936507936,659.1328968253968,428.5646428571428,377.7797211155379,319.7515384615385
CMI,122.16314159292035,144.01896825396824,125.23150793650794,116.46027777777779,159.06203187250995,184.05461538461537
CMS,27.27946902654867,30.02456349206349,34.61265873015873,41.4590873015873,46.30752988047809,44.55692307692308
CNC,26.907190265486722,37.74251984126984,64.55825396825396,62.79968253968254,81.41486055776893,107.32423076923077
CNP,23.561946902654867,24.05813492063492,19.59718253968254,21.94813492063492,28.173764940239042,27.69884615384615
COF,64.0291592920354,78.61873015873017,79.86845238095238,71.27916666666665,85.99462151394422,102.74923076923076
COG,35.15712389380531,34.382619047619045,26.799285714285716,22.92134920634921,24.795,27.443461538461538
COL,67.36327433628318,79.03039682539682,89.99638888888889,87.1025,113.42900398406374,137.28346153846152
COO,120.26584070796461,144.82738095238096,164.441626984127,163.99742063492062,221.53366533864542,235.2157692307692
COP,65.27393805309734,74.18480158730159,58.13642857142857,42.48428571428572,47.85553784860558,58.423846153846156
COST,112.93519911504424,121.58297182539683,147.8352380952381,154.3535119047619,167.39641434262947,191.16192307692307
COTY,16.247999999999998,16.721944444444446,25.959444444444443,25.16547619047619,18.14621513944223,19.811923076923076
CPB,43.48685840707965,43.870595238095234,48.331468253968254,59.537063492063496,53.79824701195219,46.54307692307692
CRM,46.28692477876106,57.27186507936508,70.6554365079365,74.55396825396825,90.25832669322709,110.31269230769232
CSCO,22.85496460176991,24.253148809523807,27.849920634920636,28.789662698412698,33.143147410358566,40.78230769230769
CSX,25.208053097345136,30.8134126984127,31.437698412698413,28.137400793650794,50.451593625498006,56.95730769230769
CTAS,48.4955796460177,64.32037698412698,85.56275793650794,100.0645634920635,132.0782470119522,162.30153846153846
CTL,34.30048672566372,36.53003968253968,31.397063492063495,27.950793650793653,21.87312749003984,17.408076923076923
CTSH,38.638325221238944,48.91896825396825,62.27821428571429,57.24757936507936,66.118406374502,75.55115384615385
CTXS,66.09345132743363,63.254107142857144,69.39557539682541,81.60301587301586,82.29770916334661,91.51807692307692
CVS,59.393849557522124,78.40496031746031,101.64873015873016,93.04936507936507,77.63876494023906,78.24961538461538
CVX,120.97075663716814,120.51365079365078,96.36257936507936,99.87373015873015,111.45386454183266,127.52576923076923
CXO,95.87261061946903,121.27642857142857,110.47607142857143,117.89369047619047,130.06752988047808,156.30384615384617
D,60.05022123893806,69.99765873015873,70.93361111111112,73.33047619047619,78.28067729083665,75.95076923076923
DAL,20.73929203539823,37.61492063492063,46.11349206349207,43.11329365079365,49.979820717131474,56.60653846153846
DE,85.47247787610618,87.81904761904762,86.21829365079364,84.05468253968253,122.30139442231076,165.57
DFS,48.22256637168141,60.38777777777778,57.02123015873016,55.92095238095238,65.37641434262947,78.73230769230769
DG,54.01154867256638,60.12075396825397,72.59424603174604,79.98841269841269,76.55177290836653,99.39038461538462
DGX,59.10854424778761,59.29194444444445,70.61956349206349,78.44833333333334,100.52,102.33730769230769
DHI,21.47575221238938,22.724444444444448,28.43444444444444,29.699126984126984,36.88589641434263,50.355384615384615
DHR,66.53707207207206,77.35509960159364,88.01037190082644,86.13868525896414,85.90717131474103,98.91499999999999
DIS,64.06508849557521,84.48119047619046,107.83551587301586,97.4618253968254,106.35816733067729,110.16846153846154
DISCA,80.38091150442477,62.698253968253965,30.685357142857143,26.717916666666667,24.535637450199204,24.23730769230769
